ancienne élève ecole	Phrase
avocat général	Phrase
agent	Phrase
aristocrate	Derivative
assistante	Derivative
auteure	Derivative
serveuse	Derivative
baronne	Phrase
baronne	Phrase
femme blonde	Phrase
soldates	Derivative
grand-mère pétard pudeurs	Phrase
petite brune	Phrase
poétesse	Derivative
fille adoptive	Phrase
institutrice qui pour elle-même	Phrase
gardienne	Phrase
étrangère	Phrase
douane	Phrase
impératrice	Derivative
femelle donneuse	Phrase
diagnostic	Unmotivated
doctoresse	Derivative
madame	Unmotivated
maîtresse	Derivative
vendeuse	Derivative
admiratrice	Derivative
héritière	Derivative
ouvrière	Derivative
concierge	Phrase
philosophe existentialiste	Phrase
en pâtisserie	Phrase
agricultrice	Derivative
féministe	Derivative
belle foâmme	Phrase
philosophe jour	Phrase
photographe	Compound
poursuite	Derivative
entrée de la maquerelle	Phrase
colombes	Unmotivated
ménagère	Derivative
hôte	Unmotivated
musiciens musiciennes danseuses distrayaient	Phrase
comtesse	Derivative
héroïne	Derivative
actrice	Derivative
cause	Derivative
pécheresse	Derivative
cost-contrôleuse inspectrice	Phrase
monitrice	Derivative
jeune assistante – – course	Phrase
ingénieur	Unmarked
négociatrice	Derivative
lézard	Phrase
locataire	Derivative
prisonnière	Derivative
commerçante	Derivative
prédécesseur	Unmarked
coiffeurs ici	Phrase
amie	Derivative
copine	Derivative
chancelière allemande	Phrase
fous	Unmotivated
pianiste appelât	Phrase
trésor	Unmarked
femme de ménage	Phrase
clientèle	Derivative
cliente femme	Phrase
trésor	Unmarked
bibliothécaire	Derivative
prêtresse	Derivative
collègue	Unmarked
commissaire	Derivative
femme de chambre	Phrase
alcool	Unmotivated
beauté	Phrase
cuisinière	Phrase
maquerelle	Derivative
cliente	Derivative
menteuse comme elle se connaît	Phrase
facteur le	Phrase
luthiste	Derivative
chasseresse guide	Phrase
doctoresse	Derivative
peintre	Unmotivated
mannequin	Derivative
épouse	Derivative
masseuse	Derivative
ton étudiante en médecine	Phrase
perdu son ourson	Phrase
madame	Unmotivated
maîtresse	Derivative
ministre	Unmotivated
jeune une lourde responsabilité	Phrase
maladie	Derivative
ouvreuse de portes	Phrase
modèle dévêtu	Phrase
moto	Unmotivated
martyre	Derivative
mulâtresse	Derivative
musulmane	Phrase
philosophe	Phrase
travailleuse	Derivative
directrice	Derivative
-ce juste petite bourgeoise	Phrase
naïve	Unmotivated
remplacement de	Phrase
visiteuse	Derivative
hypersensibles la pauvre	Phrase
jeune mariée	Phrase
journaliste	Derivative
discours	Derivative
lauréate	Derivative
coordinatrice	Derivative
servante	Derivative
patiente	Derivative
vierge	Unmotivated
tsar	Unmotivated
mme	Unmotivated
partenaire	Derivative
passagère son	Phrase
dame patronnesse	Phrase
pianiste	Derivative
air	Derivative
femme de chambre	Phrase
de la police	Phrase
devant moi une policière	Phrase
femme politique	Phrase
députée	Derivative
avocate	Derivative
rescapée camps	Phrase
première ministre	Phrase
présidente	Phrase
princesse	Derivative
professeur	Unmarked
prostituée	Phrase
assistante	Derivative
psychanalyste bienveillante passa	Phrase
psychologue	Unmarked
dactylo	Unmotivated
pastoure	Derivative
vieille mère à chats	Phrase
cantatrice viennoise	Phrase
conseil financier	Phrase
traîtresse	Derivative
rédactrice	Derivative
femelle	Derivative
présidente	Derivative
vice-présidente de	Phrase
paysanne	Phrase
secrétaire	Derivative
madame sénateur	Phrase
cousine	Derivative
successeurs préindustriels ne connaissaient pas	Phrase
femme de ménage	Phrase
servante	Derivative
femmes	Compound
oehlert	Derivative
fiancée	Derivative
défends socialiste	Phrase
rivale	Unmotivated
personne condamnée	Phrase
juge	Phrase
voisine	Derivative
codétenues apprenaient sur	Phrase
ses compagnes	Phrase
sportifs sportives	Phrase
tant que directrice	Phrase
maire	Derivative
vieille femme	Phrase
roussef comme militante laissent certains	Phrase
laquelle une stripteaseuse entièrement	Phrase
voulait faire office réconciliatrice	Phrase
étudiante	Derivative
supérieure	Derivative
représentante	Derivative
kits	Unmotivated
immigrées	Derivative
mais avec médiatrice	Phrase
bell qui faisait également partie	Phrase
gardienne de	Phrase
corps de garde	Phrase
mariage	Derivative
sainte	Phrase
secrétaire liquidatrice	Phrase
belle-mère	Derivative
technicienne sans doute	Phrase
veine crytpographique	Phrase
interprète	Unmotivated
clocharde	Derivative
marchande	Phrase
marchande	Unmotivated
alimentation	Derivative
trompette	Derivative
naines	Phrase
crayon	Phrase
femme trente ans	Phrase
friponne	Derivative
artiste	Derivative
disciple	Unmotivated
maîtresse	Derivative
ambassadrice	Derivative
paysanne	Phrase
vice-présidente annette	Phrase
patriote tout ça	Phrase
louve	Phrase
monarque	Derivative
navets fourragers	Phrase
tueuse	Derivative
soit ma contemporaine	Phrase
ambassadrice	Derivative
experte	Phrase
simulatrice	Derivative
mon ouvreuse	Phrase
chef	Unmotivated
athlète	Phrase
confidentes	Derivative
femmes scientifiques	Phrase
espions comme	Phrase
diseuse bonne aventure	Phrase
représentante	Derivative
sont arsenaux	Phrase
infirmière	Derivative
rousse fit glisser	Phrase
voleuse	Derivative
chanteuse	Derivative
surveillante fût	Phrase
sorcière	Phrase
sorcières	Unmotivated
négresse	Derivative
diablesse enragée	Phrase
membre de	Phrase
quarante ans	Phrase
partie intervenante	Phrase
lectrice	Derivative
servante	Derivative
directrice	Derivative
conductrice	Derivative
échiquier	Derivative
été championne ma classe	Phrase
infirmière	Derivative
écolière	Derivative
bienveillance condescendante	Phrase
espionnage	Derivative
blaireau	Derivative
belle-sœur	Derivative
service	Derivative
rédactrice en chef se déplace elle-même	Phrase
juive quel homme	Phrase
pauvresse	Derivative
requérante	Derivative
élève	Unmotivated
